brewery_id,name,cat_id,style_id,abv,brewery_name,latitude,longitude
1270,IPA,North American Ale,American-Style India Pale Ale,0.0,Tollemache and Cobbold Brewery,52.0593,1.1557
1271,Ornery Amber Lager,North American Lager,American-Style Lager,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Maple Nut Brown Ale Ale,North American Ale,American-Style Brown Ale,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Cocoa Porter,Other,Other,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Alpine Glacier Lager,North American Lager,American-Style Lager,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Pick Axe Pale Ale,North American Ale,American-Style Pale Ale,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Red Eye Lager,North American Lager,American-Style Lager,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Imperial Nut Brown,North American Ale,American-Style Brown Ale,9.8,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Butthead Doppelbock,German Lager,German-Style Doppelbock,8.2,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Tundrabeary Ale,Other Style,Light American Wheat Ale or Lager,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Black Powder Stout,North American Ale,American-Style Stout,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1271,Jack Whacker Wheat Ale,Other Style,Light American Wheat Ale or Lager,0.0,Tommyknocker Brewery and Pub,39.7418,-105.518
1272,OSB Premium Ale,Other,Other,4.5,Tomos Watkin and Sons Ltd.,51.6666,-3.9443
1273,Tongerlo Christmas,Belgian and French Ale,Other Belgian-Style Ales,6.5,Tongerlo,51.0873,4.9178
1273,Tongerlo Tripple,Belgian and French Ale,Belgian-Style Tripel,8.0,Tongerlo,51.0873,4.9178
1273,Tongerlo Dubbel  Blond,Belgian and French Ale,Other Belgian-Style Ales,6.0,Tongerlo,51.0873,4.9178
1273,Tongerlo Dubbel Bruin,Belgian and French Ale,Other Belgian-Style Ales,6.0,Tongerlo,51.0873,4.9178
1274,New,North American Lager,American-Style Lager,4.6,Tooheys,-33.8501,151.045
1275,Sheaf Stout,North American Ale,American-Style Stout,0.0,Tooth's,-33.8671,151.207
1276,Bitter,Other,Other,0.0,Top of the Hill Restaurant and Brewery,35.9132,-79.0558
1276,Big Bertha Brown,North American Ale,American-Style Brown Ale,0.0,Top of the Hill Restaurant and Brewery,35.9132,-79.0558
1276,Iron Mine Pale Ale,North American Ale,American-Style Pale Ale,0.0,Top of the Hill Restaurant and Brewery,35.9132,-79.0558
1276,Blackwood Mountain Stout,North American Ale,American-Style Stout,0.0,Top of the Hill Restaurant and Brewery,35.9132,-79.0558
1276,Davie Poplar IPA,North American Ale,American-Style India Pale Ale,0.0,Top of the Hill Restaurant and Brewery,35.9132,-79.0558
1277,Gingerwheat,Other,Other,0.0,Trade Winds Brewing,20.8911,-156.505
1277,Sunset Ale,North American Ale,American-Style Pale Ale,0.0,Trade Winds Brewing,20.8911,-156.505
1277,Paniolo Ale,North American Ale,American-Style Amber/Red Ale,0.0,Trade Winds Brewing,20.8911,-156.505
1277,Hula Berry,Other Style,Light American Wheat Ale or Lager,0.0,Trade Winds Brewing,20.8911,-156.505
1277,Kuaipa,North American Ale,American-Style India Pale Ale,0.0,Trade Winds Brewing,20.8911,-156.505
1278,Gold Rush Ale,North American Ale,American-Style Pale Ale,0.0,Traffic Jam and Snug,42.351,-83.0665
1278,Coal Porter,Irish Ale,Porter,0.0,Traffic Jam and Snug,42.351,-83.0665
1279,Riverboat Raspberry flavored Beer,Other Style,Light American Wheat Ale or Lager,0.0,Trailhead Brewing Company,38.7745,-90.484
1279,Red Winter Ale,North American Ale,American-Style Amber/Red Ale,0.0,Trailhead Brewing Company,38.7745,-90.484
1279,Old Courthouse Stout,North American Ale,American-Style Stout,0.0,Trailhead Brewing Company,38.7745,-90.484
1279,Missouri Brown Dark Ale,North American Ale,American-Style Amber/Red Ale,0.0,Trailhead Brewing Company,38.7745,-90.484
1279,Red Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,Trailhead Brewing Company,38.7745,-90.484
1279,Trailblazer Blond Ale,Other,Other,0.0,Trailhead Brewing Company,38.7745,-90.484
1280,Octoberfest,German Lager,German-Style Oktoberfest,0.0,Trap Rock Restaurant and Brewery,40.6892,-74.4349
1280,Hathor Red Lager,North American Lager,American-Style Lager,5.4,Trap Rock Restaurant and Brewery,40.6892,-74.4349
1280,Ghost Pony Helles Lager,Other,Other,5.6,Trap Rock Restaurant and Brewery,40.6892,-74.4349
1280,Yorkshire Stout,North American Ale,American-Style Stout,4.5,Trap Rock Restaurant and Brewery,40.6892,-74.4349
1280,Blackforest Lager,German Lager,German-Style Schwarzbier,0.0,Trap Rock Restaurant and Brewery,40.6892,-74.4349
1280,Pacific Coast Ale,Other,Other,5.6,Trap Rock Restaurant and Brewery,40.6892,-74.4349
1281,House Ale,British Ale,Scotch Ale,7.2,Traquair House Brewery,55.619,-3.0636
1281,Jacobite Ale,Other,Other,8.0,Traquair House Brewery,55.619,-3.0636
1281,Bear Ale,Other,Other,5.0,Traquair House Brewery,55.619,-3.0636
1282,Flo IPA,North American Ale,American-Style India Pale Ale,0.0,Trinity Brewing Company,38.8967,-104.855
1282,Sunna Wit,Belgian and French Ale,Belgian-Style White,0.0,Trinity Brewing Company,38.8967,-104.855
1283,Pale,North American Ale,American-Style Pale Ale,0.0,Triple Rock Brewery,37.8734,-122.269
1283,Amber,North American Ale,American-Style Amber/Red Ale,0.0,Triple Rock Brewery,37.8734,-122.269
1283,Porter,Irish Ale,Porter,0.0,Triple Rock Brewery,37.8734,-122.269
1284,Kellerbier,Other,Other,0.0,Triumph Brewing of New Hope,40.3659,-74.9544
1285,Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,Triumph Brewing of Princeton,40.3507,-74.6583
1285,Helles Lager,Other,Other,0.0,Triumph Brewing of Princeton,40.3507,-74.6583
1285,Imperial Stout,North American Ale,American-Style Stout,9.0,Triumph Brewing of Princeton,40.3507,-74.6583
1285,Winter Wonder,Other,Other,0.0,Triumph Brewing of Princeton,40.3507,-74.6583
1285,Scottish Ale,British Ale,Scotch Ale,0.0,Triumph Brewing of Princeton,40.3507,-74.6583
1285,Honey Wheat,North American Lager,American-Style Lager,0.0,Triumph Brewing of Princeton,40.3507,-74.6583
1285,Bengal Gold India Pale Ale,North American Ale,American-Style Pale Ale,0.0,Triumph Brewing of Princeton,40.3507,-74.6583
1286,Scratch #6 2007,North American Lager,American-Style Lager,5.1,Troegs Brewing,40.2559,-76.8715
1286,Scratch #8 2008,Belgian and French Ale,Belgian-Style Tripel,10.1,Troegs Brewing,40.2559,-76.8715
1286,Scratch #12 2008,North American Ale,American-Style India Pale Ale,6.5,Troegs Brewing,40.2559,-76.8715
1286,Scratch #10 2008,Belgian and French Ale,Belgian-Style Tripel,10.2,Troegs Brewing,40.2559,-76.8715
1286,Scratch #11 2008,British Ale,Ordinary Bitter,4.9,Troegs Brewing,40.2559,-76.8715
1286,Sunshine Pils,German Lager,German-Style Pilsener,5.3,Troegs Brewing,40.2559,-76.8715
1286,Scratch #13 2008,German Lager,German-Style Oktoberfest,4.9,Troegs Brewing,40.2559,-76.8715
1286,The Mad Elf,Other,Other,11.0,Troegs Brewing,40.2559,-76.8715
1286,Nugget Nectar,North American Ale,American-Style Amber/Red Ale,7.5,Troegs Brewing,40.2559,-76.8715
1286,Troegs Pale Ale,North American Ale,American-Style Pale Ale,5.4,Troegs Brewing,40.2559,-76.8715
